band_num,date_resighted,location,observer,status,comments
885-43224+CB,NA,NA,NA,NA,NA
885-43225+CB,1991-05-24,p25,RGC,paired,"""black CB"""
885-43225+CB,1991-05-25,p4857,RGC,paired,NA
885-43225+CB,1991-05-30,p4857,RGC,paired,NA
885-43225+CB,1991-06-03,p4857,RDD,paired,NA
885-43225+CB,1991-06-04,p4857,BKW,paired,NA
885-43225+CB,1993-05-18,n13,"RGC, JAH",nesting,"""nest is ~2-3m SE of 1992 nest site"""
755-49468+CB,NA,NA,NA,NA,NA
865-18948,NA,NA,NA,NA,NA
885-43375,NA,NA,NA,NA,NA
885-43377,NA,NA,NA,NA,NA
885-43378,NA,NA,NA,NA,NA
885-43405,NA,NA,NA,NA,NA
885-43421,NA,NA,NA,NA,NA
,,,,,
,,,,,
,KEY,,,,
,BAND NUM,RB: red band,,,
,,GCB: green CB,,,
,,Gband: green band,,,
,FINISHED,,,,
